property,stand_in_validation,publication_recovered,evidence,status
A_publication_seeds,"validation {131,137,149,157,163,179,181,191,193,197}","VALIDATION seeds same list (peer VALIDATION_SEEDS + validation_manifest); TEST seeds {11,23,37,41,53,67,71,83,97,101} (REQUIRED_SEEDS + campaign_metrics)",peer validation_scenarios.py; campaign_analysis_corrected.py; validation_manifest.csv; campaign_metrics.csv,MATCH_for_validation_seeds__TEST_seeds_distinct
B_campaign_sizes,size 5 only for S2/S3/S4,"validation base V2/V3/V4 size 5 (manifest+peer); missing suite also emitted cs∈{2,5,10} stub rows; TEST sizes {2,5,10} (master YAML + campaign_metrics)",validation_manifest.csv; master YAML scenario.campaign_sizes; campaign_metrics.csv,MISMATCH_stand_in_lacks_cs_strata
C_descriptors_per_vehicle,10,10,master YAML source_windows_per_vehicle; DescriptorBudget; validation_manifest descriptor_count=200,MATCH
D_benign_vehicles,"15 when campaign_size=5 (fleet 20 − 5 attacked)","same budget geometry (fleet 20; attacked = campaign_size); V0 all-benign 20",master YAML fleet_size; peer builders; validation_manifest compositions,MATCH
E_total_fleet_size,20,20,master YAML; campaign_metrics fleet_size; validation_manifest,MATCH
F_attack_descriptor_selection,"sample high-score attack windows by OEM model from flat validation pool","instance/segment catalog + _build_attacked_vehicle_chunk with strong/weak score bands per attack_type",peer campaign_analysis_corrected._build_attacked_vehicle_chunk; stand-in reconstruct script,MISMATCH
G_shared_attack_family_in_campaign,"not enforced (mixed types possible)","shared family intended (attack_family_mode=shared; STRONG/WEAK_ATTACK_DEFAULT + prototype by attack_type)",scenario_registry.py; coordination_strength.compute_campaign_prototype; peer V3/V4,MISMATCH_or_weaker_enforcement
H_shared_source_traces,"no; windows pooled by vehicle_model","per-vehicle instance from distinct source segments/traces (catalog scenario_vehicle_id); campaign members typically different traces same attack family",validation_manifest source_trace_ids/source_segment_ids; vehicle_instance_builder,MISMATCH
I_S3_strong_descriptor_choice,"prefer anomaly_score≥0.80 pool then prototype blend strength 1.0 on malicious rows only","strong band via _strong_band_mask / strong_threshold=0.80; peer apply_coordination_strength strength=1.0 on all coordinated-role rows; exact missing-suite strength UNRECOVERABLE beyond peer",peer validation_scenarios._coordinated_campaign_scenario; local_ids thresholds,MISMATCH_details
J_S4_weak_descriptor_choice,"prefer weak band then blend strength 0.35","weak band via thresholds 0.55–0.80; peer uses strength=1.0 with WEAK_ATTACK_DEFAULT prototype (not 0.35); registry range (0.75,1.0)",peer validation_scenarios.py; scenario_registry S4 range,MISMATCH
K_anomaly_score_ranges_enforced,"partial (pool preference with fallbacks)","yes in peer chunk builder (strong/weak masks); thresholds 0.55/0.80 FREEZE",master YAML local_ids; _build_attacked_vehicle_chunk,MISMATCH_stand_in_weaker
L_sample_before_or_after_graph,"before graph (scenario CSV then fleet pipeline)","before graph (scenario construction then fleet eval)",runner.py ordering; peer builders,MATCH
M_descriptor_similarity_influences_sampling,"no cosine-NN sampling","no cosine-NN sampling found; similarity imposed AFTER sampling via prototype blend",coordination_strength.py; searches for nearest-neighbor campaign sampling negative,MATCH_no_cosine_sampler
N_campaign_members_behaviorally_similar_by_design,"intended via blend but measured same-GT cosine≈0.17","yes by design (behavioural_coordination_only; prototype blend; registry coordination_strength_range)",master YAML; coordination_strength.py; scenario_registry,MISMATCH_effectiveness
O_S2_unrelated_construction,"5 attacked vehicles distinct INCIDENT-* ids; no blend","peer V2: distinct INCIDENT-V2-* ids; attack_family_mode distinct_per_vehicle; coordination_strength_range (0,0.25); no shared prototype blend in V2 peer path",peer _unrelated_attacks_scenario; scenario_registry S2,PARTIAL_MATCH
P_repetitions_seeds,"10 validation seeds","validation 10 seeds (131…197); TEST 10 seeds (11…101); V3/V4 TEST also ×3 campaign sizes → 30 runs each",validation_manifest; campaign_metrics; REQUIRED_SEEDS,MATCH_validation__TEST_grid_larger
Q_vehicle_token_fleet_replication,"synthetic scenario_vehicle_id H001… from OEM letter+seq","catalog scenario_vehicle_id / vehicle_token from instance builder (segment-backed)",peer _append_vehicle_chunk; stand-in _add_vehicle,MISMATCH_identity_source
R_node_budget_per_vehicle,10 descriptors/vehicle,10,master YAML; DescriptorBudget defaults,MATCH
S_benign_descriptor_selection,"sample benign validation windows by OEM","benign instances from catalog attack_types_available=benign; sample benign_per_benign from segment",peer _benign_only_scenario / benign loops,MISMATCH_mechanism
T_balancing_or_prototype_blending,"prototype blend present (strength 1.0/0.35; malicious-only mask)","prototype blend VERIFIED; peer validation uses strength=1.0 both V3/V4 on coordinated-role mask; TEST uses parameterized coordination_strength via missing PUBLICATION_SCENARIOS",coordination_strength.py; peer validation_scenarios.py,MISMATCH_mask_and_weak_strength
